time,temperature_2m,precipitation,relative_humidity_2m,wind_speed_10m,clat,clon
2023-11-09T00:00,20.0,0.0,98,6.6,13.0,77.6
2023-11-09T01:00,20.0,0.0,96,10.1,13.0,77.6
2023-11-09T02:00,21.0,0.0,90,13.4,13.0,77.6
2023-11-09T03:00,22.5,0.0,82,15.6,13.0,77.6
2023-11-09T04:00,24.0,0.0,75,15.1,13.0,77.6
2023-11-09T05:00,25.2,0.1,70,14.1,13.0,77.6
2023-11-09T06:00,26.1,0.0,65,15.1,13.0,77.6
2023-11-09T07:00,27.1,0.0,62,15.2,13.0,77.6
2023-11-09T08:00,26.5,0.0,63,14.5,13.0,77.6
2023-11-09T09:00,22.3,4.8,87,17.3,13.0,77.6
2023-11-09T10:00,23.6,1.4,80,12.6,13.0,77.6
2023-11-09T11:00,24.0,0.1,75,13.3,13.0,77.6
2023-11-09T12:00,23.1,0.0,80,10.4,13.0,77.6
2023-11-09T13:00,22.5,0.0,75,7.7,13.0,77.6
2023-11-09T14:00,22.1,0.0,79,7.3,13.0,77.6
2023-11-09T15:00,21.6,0.0,83,8.6,13.0,77.6
2023-11-09T16:00,21.1,0.0,86,10.1,13.0,77.6
2023-11-09T17:00,20.6,0.0,91,9.7,13.0,77.6
2023-11-09T18:00,20.0,0.0,96,10.4,13.0,77.6
2023-11-09T19:00,19.7,0.0,97,12.3,13.0,77.6
2023-11-09T20:00,19.6,0.0,98,12.3,13.0,77.6
2023-11-09T21:00,19.5,0.0,98,12.4,13.0,77.6
2023-11-09T22:00,19.8,0.0,97,13.0,13.0,77.6
2023-11-09T23:00,20.0,0.0,94,12.1,13.0,77.6
2023-11-10T00:00,20.3,0.0,92,12.1,13.0,77.6
2023-11-10T01:00,19.6,0.0,95,15.5,13.0,77.6
2023-11-10T02:00,20.5,0.0,90,17.3,13.0,77.6
2023-11-10T03:00,22.5,0.0,79,18.4,13.0,77.6
2023-11-10T04:00,24.0,0.0,72,17.0,13.0,77.6
2023-11-10T05:00,24.8,0.0,68,15.8,13.0,77.6
2023-11-10T06:00,26.0,0.1,64,15.5,13.0,77.6
2023-11-10T07:00,27.0,0.2,60,15.9,13.0,77.6
2023-11-10T08:00,27.2,0.3,58,16.3,13.0,77.6
2023-11-10T09:00,27.1,0.1,58,15.5,13.0,77.6
2023-11-10T10:00,27.1,0.1,59,14.9,13.0,77.6
2023-11-10T11:00,26.4,0.1,60,14.4,13.0,77.6
2023-11-10T12:00,25.0,0.0,65,11.4,13.0,77.6
2023-11-10T13:00,23.4,0.0,71,12.2,13.0,77.6
2023-11-10T14:00,22.6,0.0,76,12.6,13.0,77.6
2023-11-10T15:00,22.0,0.0,81,14.0,13.0,77.6
2023-11-10T16:00,21.5,0.0,86,13.0,13.0,77.6
